X,Y,OBJECTID,project,Farm,Lat,Long,Depth,Depthcode,pH,N,OC,P,Ca,Mg,K,Na,Zn,Cu,Mn,Fe
9.75800000000004,6.73100000000005,1,ISRIC legacy profile data,CM1868_282,6.731,9.758,0-11,1,6.1,0.1197183,1.7,0,0,0,0,0,0,0,0,0
14.451667,12.056944,2,ISRIC legacy profile data,CM26998_8.14,12.056944,14.451667,0-4,1,8.9,0.0339474,0.258,0,0,0,0,0,0,0,0,0
10.5265000000001,11.683,3,ISRIC legacy profile data,NG12067_Ba15a-1,11.683,10.5265,0-17,1,5.8,0,0,0,0,0,0,0,0,0,0,0
10.58,11.83,4,ISRIC legacy profile data,NG12067_Ba15a-2,11.83,10.58,0-33,1,7.5,0,0,0,0,0,0,0,0,0,0,0
10.02,11.4370000000001,5,ISRIC legacy profile data,NG12067_Ba15a-3,11.437,10.02,0-14,1,7.5,0,0,0,0,0,0,0,0,0,0,0
10.0600000000001,11.8430000000001,6,ISRIC legacy profile data,NG12067_Ba15b-1,11.843,10.06,0-8,1,7.4,0,0,0,0,0,0,0,0,0,0,0
10.4950000000001,11.6130000000001,7,ISRIC legacy profile data,NG12067_Ba15g-2,11.613,10.495,0-22,1,7.9,0,0,0,0,0,0,0,0,0,0,0
10.438,11.5400000000001,8,ISRIC legacy profile data,NG12067_Ba15g-3,11.54,10.438,0-25,1,7.2,0,0,0,0,0,0,0,0,0,0,0
10.314,11.3320000000001,9,ISRIC legacy profile data,NG12067_Ba18a-1,11.332,10.314,0-8,1,5.8,0,0,0,0,0,0,0,0,0,0,0
10.4680000000001,11.3440000000001,10,ISRIC legacy profile data,NG12067_Ba18a-2,11.344,10.468,0-24,1,7.6,0,0,0,0,0,0,0,0,0,0,0
10.5050000000001,11.285,11,ISRIC legacy profile data,NG12067_Ba18a-3,11.285,10.505,0-10,1,7.3,0,0,0,0,0,0,0,0,0,0,0
10.474,11.155,12,ISRIC legacy profile data,NG12067_Ba18a-4,11.155,10.474,0-16,1,7.2,0,0,0,0,0,0,0,0,0,0,0
10.76,10.3650000000001,13,ISRIC legacy profile data,NG12067_Ba18a-7,10.365,10.76,0-18,1,6.2,0.0290323,0.54,0,0,0,0,0,0,0,0,0
9.47400000000005,10.22,14,ISRIC legacy profile data,NG12067_Ba18d-10,10.22,9.474,0-9,1,5.3,0.0299625,0.8,0,0,0,0,0,0,0,0,0
9.89000000000004,10.3000000000001,15,ISRIC legacy profile data,NG12067_Ba18d-5,10.3,9.89,0-16,1,7.8,0,0,0,0,0,0,0,0,0,0,0
10.9180000000001,10.3050000000001,16,ISRIC legacy profile data,NG12067_Ba18d-6,10.305,10.918,0-12,1,7.7,0,0,0,0,0,0,0,0,0,0,0
11.237,10.275,17,ISRIC legacy profile data,NG12067_Ba19a-1,10.275,11.237,0-15,1,7.5,0,0,0,0,0,0,0,0,0,0,0
